word,valence,arousal
bouncer,-0.02,0.306
bounciness,0.75,0.778
bouncy,0.124,0.13
bound,-0.166,0.334
boundaries,0.0,-0.667
boundary,0.122,-0.146
bounder,-0.667,0.667
boundless,0.368,0.284
boundlessly,0.905,0.667
boundlessness,0.667,0.238
bounds,-0.244,-0.148
bounteous,1.0,-0.333
bounteously,1.0,0.048
bountiful,0.708,0.192
bountifully,1.0,-0.259
bountifulness,1.0,-0.333
bounty,0.52,0.51
bouquet,0.448,-0.296
bourbon,0.204,-0.02
bourgeois,-0.122,0.186
bourgeoisie,-0.286,-0.166
bourse,0.06,-0.54
bout,-0.584,0.616
boutique,0.49,-0.02
bouttime,0.176,-0.254
bovine,-0.102,-0.49
bow,0.06,-0.388
bowed,-0.18,-0.164
bowel,-0.388,-0.166
bowels,-0.612,-0.104
bowers,0.519,-0.667
bowery,-0.074,-0.583
bowhead,0.0,0.0
bowing,0.292,0.444
bowl,0.25,-0.246
bowleg,-0.542,0.0
bowlegged,-0.63,-0.667
bowler,0.104,0.266
bowless,-0.667,-0.889
bowlful,0.333,-0.762
bowlike,0.167,-0.619
bowline,0.0,0.19
bowling,0.312,-0.138
bowls,0.102,-0.44
bows,0.111,0.407
bowshot,0.0,0.667
bowstring,0.0,-0.296
bowtie,0.333,0.0
box,0.0,-0.642
boxcar,-0.16,-0.062
boxer,-0.02,0.62
boxers,-0.25,0.76
boxful,0.0,-0.095
boxing,-0.146,0.708
boxlike,-0.19,-0.778
boxwood,0.0,-0.667
boxy,-0.333,-0.667
boycott,-0.776,0.38
boycotter,-0.524,0.667
boyfriend,0.562,0.208
boyhood,0.458,0.49
boyish,0.396,0.124
boyishly,0.667,0.333
boyishness,0.417,0.0
boys,0.333,0.593
boysenberry,0.292,-0.182
bozo,-0.224,-0.272
bra,0.344,0.058
brace,0.22,-0.23
braced,0.375,-0.667
bracelet,0.552,-0.32
bracer,0.667,0.333
braces,0.0,-0.326
brachial,-0.224,-0.274
brachiosaur,0.0,-0.481
brachiosaurus,0.333,-0.556
bracket,-0.02,-0.3
brackets,0.146,-0.438
brackish,-0.062,-0.264
brackishness,-0.667,-0.63
brad,-0.02,-0.23
brag,-0.306,0.09
braggart,-0.667,0.667
bragger,-0.667,0.667
bragging,-0.667,0.667
braid,-0.146,-0.556
braider,0.571,0.667
brail,0.0,0.444
braille,0.333,-0.5
brain,0.334,-0.118
brainchild,0.704,0.083
brainer,0.5,-0.037
braininess,0.708,0.0
brainless,-0.724,-0.38
brainlessly,-0.667,0.19
brainlessness,-0.933,-0.958
brainpower,0.958,0.208
brains,0.326,0.114
brainstem,0.0,-0.25
brainstorm,0.588,0.568
brainteaser,0.533,0.667
brainwash,-0.604,0.294
brainwashed,-0.833,0.667
brainwasher,-0.917,0.6
brainwave,0.667,0.741
brainwork,0.667,0.667
brainworker,0.5,0.583
brainy,0.416,0.04
braise,0.481,0.667
braised,0.667,-0.667
brake,-0.376,-0.038
brakeless,-0.667,0.704
brakeman,0.0,0.667
braless,0.0,0.0
bramble,-0.667,0.667
brambleberry,0.444,-0.333
bran,0.376,-0.134
branch,0.076,-0.588
branching,0.04,-0.156
branchless,-0.167,-1.0
branchlike,0.0,-0.905
brand,0.124,-0.432
branded,0.0,0.042
brandied,0.667,-0.167
brandish,-0.037,0.952
brandisher,-0.444,1.0
brands,0.048,0.0
brandy,0.2,0.18
brash,-0.28,0.628
brashness,-0.542,0.63
brass,0.0,-0.36
brasserie,0.708,0.524
brassiere,0.02,-0.062
brassiness,-0.619,0.0
brasslike,-0.095,-0.667
brassware,0.444,-0.556
brassy,-0.333,0.625
brat,-0.376,-0.12
bratty,-0.667,0.667
bratwurst,0.02,-0.02
bravado,-0.042,0.02
brave,0.674,0.5
bravely,1.0,0.905
braveness,0.958,0.074
braver,0.926,0.625
bravery,0.796,0.49
bravest,1.0,0.667
brawl,-0.792,0.876
brawler,-0.667,0.958
brawn,-0.124,-0.196
brawniness,0.583,0.667
brawny,0.708,0.667
braze,0.556,0.708
brazen,-0.416,0.28
brazenfaced,-0.476,0.667
brazenly,-0.667,0.75
brazenness,-0.611,0.667
brazier,0.0,-0.583
brazilian,0.0,0.0
brb,-0.142,-0.148
breach,-0.646,0.49
bread,0.32,-0.372
breadbasket,0.556,-0.593
breadbin,0.0,-0.667
breadboard,0.0,0.0
breadbox,0.0,-0.667
breadcrumb,0.333,-0.037
breadfruit,0.619,0.0
breadless,-0.667,-0.286
breadline,-0.667,-0.556
breadstick,0.481,-0.63
breadth,0.334,-0.02
breadwinner,0.667,0.667
breadwinning,0.625,-0.5
break,0.22,-0.47
breakable,-0.612,0.334
breakage,-0.667,-0.19
breakaway,-0.042,0.501
breakdance,0.63,1.0
breakdown,-0.27,-0.154
breaker,-0.354,0.054
breakers,-0.062,0.176
breakeven,0.0,0.074
breakfast,0.77,-0.34
breakingnews,0.0,0.104
breakneck,-0.492,0.666
breakout,-0.408,0.066
breakpoint,0.0,0.556
breakthrough,0.36,0.05
breakup,-0.5,0.44
breakwater,0.0,-0.619
breast,0.506,-0.142
breastbone,0.0,-0.741
breastfeed,0.833,0.667
breastmilk,0.714,-0.833
breastplate,0.083,-0.048
breaststroke,0.5,0.833
breath,0.368,-0.216
breathable,0.875,-0.259
breathalyzer,-0.667,0.667
breathe,0.666,-0.254
breather,0.248,-0.058
breathiness,-0.238,0.444
breathless,-0.354,-0.02
breathlessly,0.042,0.875
breathlessness,-0.667,1.0
breathtaking,0.872,0.584
breathy,-0.333,0.25
bred,0.0,0.593
breech,0.0,0.274
breeches,-0.27,-0.086
breed,-0.02,-0.118
breeder,0.29,-0.038
breeding,0.334,-0.038
breeze,0.674,-0.432
breezeless,-0.333,-1.0
breezeway,0.619,-0.292
breezily,0.667,0.667
breeziness,0.667,-0.292
breezy,0.062,-0.056
brethren,0.834,-0.24
breve,0.07,-0.27
brevity,-0.082,-0.132
brew,0.48,0.076
brewery,0.42,0.244
brewing,0.48,0.186
briar,-0.014,-0.25
bribable,-0.667,0.611
bribe,-0.776,0.38
bribed,-0.704,0.593
briber,-1.0,0.667
bribery,-0.73,0.55
brick,-0.566,-0.164
bricklayer,0.083,0.611
bricklaying,0.278,0.667
bricklike,0.0,-1.0
brickwork,0.0,-0.708
brickyard,0.0,0.0
bridal,0.646,0.31
bride,0.68,0.416
bridegroom,0.618,0.472
bridesmaid,0.496,0.038
bridge,0.25,-0.352
bridgeable,0.542,-0.222
bridged,0.667,-0.042
bridgehead,0.0,0.667
bridgeless,-0.625,-0.667
bridgework,0.625,0.0
bridle,-0.146,-0.266
bridled,-0.533,0.63
brief,-0.062,-0.4
briefcase,0.084,-0.463
briefing,0.224,-0.334
briefly,0.372,-0.372
briefness,0.292,-0.444
brig,0.146,0.078
brigade,0.208,0.42
brigadier,0.083,0.667
brigand,-0.667,0.714
bright,0.78,0.054
brighten,0.52,0.094
brightener,0.926,0.542
brightens,0.542,0.222
brighter,0.836,0.396
brightest,1.0,0.0
brightness,0.876,0.246
brill,1.0,0.0
brilliance,0.99,0.318
brilliancy,1.0,-1.0
brilliant,0.878,0.15
brilliantly,1.0,0.556
brim,-0.062,-0.334
brimful,0.667,-0.63
brimless,0.0,0.0
brimmed,0.333,0.111
brimmer,0.625,0.0
brimming,0.312,0.38
brimstone,-0.286,0.04
brine,-0.334,-0.038
bring,0.27,-0.08
bringer,0.63,0.667
brink,-0.25,-0.174
briny,-0.037,-0.667
brioche,0.476,-1.0
briquette,0.0,-0.458
brisk,0.438,0.49
brisket,0.104,-0.244
briskly,0.458,0.708
briskness,0.667,1.0
bristle,-0.25,-0.25
bristled,-0.458,0.8
bristly,-0.5,0.583
britches,0.0,-0.333
brits,0.0,0.519
brittle,-0.448,-0.02
brittleness,-0.625,-0.889
bro,0.588,-0.302
broach,-0.124,-0.122
broad,0.524,-0.27
broadband,0.667,0.143
broadcast,0.23,0.174
broadcaster,0.292,0.667
broadcasting,0.084,0.4
broadcloth,0.333,-0.852
broaden,0.356,0.204
broadleaf,0.0,-1.0
broadly,0.095,-0.714
broadminded,1.0,-0.625
broadness,0.0,-0.667
broadsheet,0.0,-0.25
broadside,-0.082,-0.368
broadsword,-0.062,0.146
broadtail,0.0,0.0
broadway,0.667,0.741
brocade,0.0,-0.346
broccoli,-0.062,-0.6
brochette,0.667,0.0
brochure,0.104,-0.548
brogue,0.037,0.0
broil,0.02,-0.192
broiler,0.083,0.667
broke,-0.51,0.18
broken,-0.876,0.0
brokenheart,-0.77,0.154
brokenhearted,-0.74,0.196
brokenheartedly,-0.963,-0.667
brokenly,-0.611,-0.37
brokenness,-0.667,-0.519
broker,0.164,-0.076
brokerage,-0.042,0.0
bromide,-0.306,-0.15
bromine,0.0,-0.5
bronchi,0.0,0.0
bronchia,-0.333,-0.889
bronchial,0.0,0.042
bronchially,-0.583,-0.333
bronchiole,0.5,0.286
bronchitis,-0.722,-0.333
bronchopneumonia,-1.0,-0.222
bronchoscope,-0.296,0.619
bronco,0.0,0.02
brontosaur,0.0,-0.792
brontosaurus,0.0,-0.583
bronze,0.244,-0.334
bronzed,0.389,-0.667
bronzer,0.667,-0.042
brooch,0.062,-0.48
brood,0.266,0.038
brooder,-0.333,-0.625
broodiness,-0.429,-0.524
brooding,-0.346,-0.266
broody,-0.333,-0.556
brook,0.188,-0.306
broom,-0.23,-0.692
broomstick,-0.18,-0.47
broth,0.0,-0.51
brothel,-0.726,0.72
brother,0.646,-0.278
brotherhood,0.99,-0.055
brotherliness,1.0,-0.667
brotherly,0.73,-0.388
brought,0.104,-0.016
brouhaha,-0.667,1.0
brow,0.124,-0.378
browbeat,-0.833,1.0
browbeater,-0.958,0.917
brown,-0.208,-0.596
browner,0.0,-0.667
brownies,1.0,-0.667
brownish,-0.042,-0.619
brownness,0.0,-1.0
brownnose,-0.714,0.619
brownnoser,-1.0,0.667
brownout,-0.667,0.556
brownstone,0.118,-0.154
browse,0.27,0.5
browser,0.206,0.116
browsing,0.333,0.333
brrr,-0.254,0.08
bruh,-0.392,-0.03
bruise,-0.734,0.28
bruised,-0.667,-0.333
bruiser,-0.571,0.667
bruising,-0.832,0.04
brunch,-0.188,-0.274
brunette,0.604,0.056
brunt,-0.592,0.5
brush,-0.02,-0.47
brusher,0.0,0.611
brushfire,-0.667,1.0
brushless,0.593,-0.667
brushstroke,0.333,0.417
brushwood,0.0,-0.625
brushwork,0.667,0.556
brushy,0.0,0.0
brusque,-0.667,0.63
brusquely,-0.524,0.667
brusqueness,-0.611,0.667
brussels,0.0,0.0
brut,-0.167,0.625
brutal,-0.592,0.764
brutalism,-0.533,0.667
brutality,-0.756,0.664
brutalization,-1.0,0.75
brutalize,-1.0,1.0
brutally,-1.0,0.958
brute,-0.77,0.094
brutish,-0.46,0.674
brutishly,-0.833,0.958
brutishness,-0.963,0.704
btw,-0.388,-0.242
bubble,0.548,-0.574
bubblegum,0.667,0.333
bubbler,0.542,0.667
bubbling,0.0,-0.124
bubbly,0.396,0.216
bubonic,-0.44,0.06
buccaneer,-0.667,1.0
buck,0.354,0.154
buckaroo,-0.104,-0.062
bucket,-0.184,-0.666
bucketful,0.25,0.0
buckeye,0.0,0.0
buckhorn,0.0,0.0
buckish,0.593,0.625
buckle,-0.168,-0.254
buckled,-0.146,-0.284
buckler,0.0,0.583
bucko,-0.122,-0.09
bucksaw,-0.167,0.667
buckshot,-0.49,0.48
buckskin,0.278,-0.667
buckskinned,0.095,-0.083
bucktooth,-0.533,0.0
buckwheat,-0.02,-0.058
bud,-0.08,-0.196
buddha,0.38,-0.604
buddhism,0.02,-0.77
buddies,0.667,0.375
budding,-0.02,0.0
buddy,0.768,0.17
budge,0.438,0.51
budget,0.286,-0.208
budgetary,-0.056,-0.667
budgeter,0.125,0.542
budgie,0.333,0.667
budlike,0.667,-0.583
buff,0.122,-0.15
buffalo,-0.062,0.056
buffer,0.04,-0.052
buffering,-0.042,-0.064
buffet,0.312,0.092
buffoon,-0.312,0.302
buffoonery,-0.667,0.704
buffoonish,-0.714,0.667
bug,-0.428,0.0
bugaboo,-0.122,-0.018
bugged,0.122,-0.122
bugger,-0.376,0.254
buggery,-1.0,0.667
bugging,-0.667,1.0
buggy,0.0,0.018
bugle,-0.042,0.176
bugled,0.042,0.708
bugler,0.084,0.08
buick,0.0,-0.095
build,0.542,0.092
buildable,0.667,-0.222
builder,0.32,0.284
building,0.41,-0.424
buildings,0.164,-0.24
buildup,-0.02,0.018
built,0.166,-0.11
bulb,0.124,-0.584
bulbous,-0.22,-0.116
bulge,-0.48,-0.026
bulginess,-0.381,0.0
bulgy,-0.37,-0.125
bulimia,-1.0,0.667
bulimic,-0.816,0.14
bulk,-0.062,-0.174
bulkhead,-0.376,-0.15
bulkily,-0.333,-0.667
bulkiness,-0.333,-0.667
bulky,-0.146,0.182
bull,0.042,0.28
bulldog,-0.012,0.3
bulldogged,0.667,1.0
bulldoze,-0.667,0.833
bulldozer,-0.082,0.098
bullet,-0.184,0.588
bulletin,0.146,-0.412
bulletproof,0.5,0.442
bullfight,-0.593,1.0
bullfighter,-0.104,0.588
bullfinch,0.296,-0.556
bullfrog,-0.312,-0.038
bullhead,-0.619,0.619
bullheaded,-0.542,0.48
bullheadedness,-0.667,0.667
bullhorn,0.02,0.306
bullied,-0.952,0.667
bullies,-0.917,0.708
bullion,0.386,0.116
bullish,0.392,0.112
bullishly,0.833,0.833
bullishness,0.542,0.667
bullmastiff,0.0,0.63
bullock,-0.438,-0.196
bullpen,-0.04,0.098
bullring,-0.083,0.667
bullseye,0.75,0.083
bullshit,-0.916,0.352
bullshitting,-0.667,0.667
bullwhip,0.0,0.667
bully,-0.486,0.51
bulwark,0.102,0.104
bum,-0.438,-0.098
bumble,-0.444,0.667
bumblebee,-0.062,-0.014
bumbler,-0.667,0.524
bummed,-0.408,-0.14
bummer,-0.674,0.0
bumming,-0.667,0.37
bump,-0.428,-0.084
bumper,-0.23,0.146
bumpily,-0.4,0.833
bumpiness,-0.583,-0.519
bumpkin,-0.667,-0.25
bumpy,-0.388,0.366
bun,-0.152,-0.388
bunch,0.104,-0.284
bunchy,0.037,-0.542
bundle,0.02,-0.314
bundler,0.0,0.667
bung,-0.238,0.5
bungalow,0.124,-0.296
bungee,0.274,0.09
bunghole,-0.428,-0.148
bungle,-0.667,0.667
bungler,-0.905,0.583
bunion,-0.448,-0.32
bunk,-0.124,-0.336
bunkbed,0.238,-0.667
bunker,-0.25,0.346
bunkhouse,-0.06,-0.172
bunkmate,0.095,0.0
bunnies,0.667,0.667
bunny,0.48,-0.35
bunt,-0.166,-0.156
buoy,0.124,-0.44
buoyancy,0.25,-0.254
buoyant,0.25,-0.118
buoyantly,0.917,0.667
bur,-0.23,-0.294
burbank,0.0,-0.25
burden,-0.266,0.166
burdened,-0.142,0.038
burdensome,-0.542,0.392
bureau,0.124,-0.254
bureaucracy,-0.24,0.156
bureaucrat,-0.584,0.038
bureaucratic,-0.44,0.26
bureaucratically,-0.667,-0.417
bureaucratization,-0.667,-0.667
bureaucratize,-0.667,-0.667
burgeon,0.792,0.667
burger,0.376,0.136
burglar,-0.9,0.538
burglarize,-1.0,0.667
burglarproof,0.667,-0.667
burglary,-0.854,0.836
burgle,-1.0,0.963
burial,-0.594,0.154
buried,-0.734,0.06
burka,0.0,-0.542
burke,-0.068,-0.118
burlap,-0.142,-0.076
burlesque,-0.346,0.23
burliness,0.667,-0.667
burly,0.124,0.3
burn,-0.562,0.566
burnable,0.0,0.048
burned,-0.674,0.206
burner,-0.408,0.632
burning,-0.542,0.52
burnish,0.667,0.407
burnished,0.04,0.16
burnout,-0.562,-0.11
burnt,-0.836,0.426
burp,-0.562,0.188
burr,-0.22,-0.148
burrito,0.376,-0.412
burro,-0.2,-0.288
burrow,-0.124,-0.44
burrower,0.0,0.667
bursary,0.458,-0.076
burst,-0.688,0.788
bury,-0.846,0.142
bus,-0.186,-0.178
busboy,0.02,-0.094
bush,-0.174,-0.56
bushel,-0.166,-0.226
bushfire,-0.958,1.0
bushiness,0.0,-0.593
bushman,0.0,0.083
bushmaster,-0.407,0.917
bushwhack,-0.625,0.952
bushwhacker,-0.542,0.63
bushy,0.124,-0.358
busied,0.0,0.933
busily,0.278,0.958
business,0.376,0.138
businesslike,0.571,0.667
businessman,0.306,0.02
businessmen,0.381,0.667
businesspeople,0.63,0.667
businessperson,0.556,0.75
businesswoman,0.438,0.0
busload,0.122,-0.038
busman,0.0,0.667
buss,-0.062,0.0
bust,0.04,0.0
busted,-0.592,0.352
buster,-0.062,-0.018
bustle,-0.306,0.628
bustled,0.333,0.667
bustling,-0.02,0.7
busty,0.5,0.0
busy,-0.196,0.0
busybody,-0.49,0.268
busywork,-0.63,0.667
but,0.0,0.0
butane,-0.116,-0.034
butcher,0.0,0.15
butchery,-1.0,0.667
butler,0.079,-0.53
butlery,0.042,-0.667
butt,-0.306,0.45
butte,0.0,-0.667
butter,0.3,-0.416
butterball,0.167,-0.778
butterbean,0.37,-0.667
buttercream,0.667,-1.0
buttercup,0.124,-0.036
butterfat,0.583,-0.667
butterfingered,-0.667,-0.444
butterfingers,-0.667,0.571
butterflies,0.667,0.667
butterfly,0.784,-0.346
buttermilk,0.266,-0.378
butternut,0.286,-1.0
butterscotch,0.416,0.02
buttery,0.25,-0.364
butthead,-1.0,0.593
butthole,-1.0,0.556
buttock,-0.142,0.2
buttocks,-0.084,0.354
button,0.04,-0.56
buttoner,0.0,0.593
buttonhole,0.0,-0.074
buttonholer,-0.583,0.619
buttonhook,0.0,0.0
buttress,-0.124,0.368
buxom,0.124,0.438
buxomness,0.333,-0.375
buy,0.542,0.538
buyable,0.333,-0.185
buyer,0.226,0.038
buying,0.33,0.568
buyout,0.519,0.667
buzz,-0.334,0.372
buzzard,-0.3,0.0
buzzed,0.166,0.098
buzzer,0.098,0.432
buzzing,-0.14,0.176
buzzword,0.0,0.667
by,0.0,0.0
bye,-0.25,-0.204
bygone,-0.542,-0.38
bylaw,-0.062,-0.254
byline,-0.062,-0.1
bypass,-0.142,-0.164
byproduct,-0.333,-0.571
bystander,-0.04,-0.076
byte,-0.02,-0.24
byway,0.292,-0.222
byword,0.0,0.0
byzantine,0.092,-0.114
cab,-0.124,-0.02
cabal,0.0,-0.188
caballero,0.704,0.0
cabana,0.396,-0.408
cabaret,0.354,0.312
cabbage,-0.204,-0.55
cabbie,0.042,-0.166
cabby,0.0,0.63
cabdriver,0.0,0.778
cabernet,0.086,-0.16
cabin,0.286,-0.416
cabinet,0.104,-0.388
cabinetmaker,0.667,-0.5
cabinetmaking,0.667,0.667
cabinetry,0.444,-0.857
cabinetwork,0.63,-0.556
cable,0.166,-0.51
cabled,0.0,-0.667
cableway,0.0,0.667
caboodle,0.058,0.042
caboose,-0.12,-0.094
cabriolet,0.334,0.05
cacao,0.667,-0.083
cache,0.104,-0.304
cackle,-0.375,0.762
cackler,-0.5,0.889
cacophonic,-0.905,0.852
cacophonous,-0.926,0.952
cacophonously,-0.833,1.0
cacophony,-0.184,0.124
cacti,0.0,-0.778
cactus,-0.122,-0.176
cad,-0.106,-0.188
cadaver,-0.94,0.38
cadaverous,-1.0,-0.333
caddie,0.042,-0.13
caddish,-0.741,0.583
caddy,0.16,-0.06
cadence,-0.146,-0.054
cadenced,0.556,0.593
cadency,0.0,0.375
cadet,0.008,-0.214
cadmium,-0.667,-0.5
cadre,0.0,0.667
caesarean,-0.333,0.583
caesarian,-0.143,0.667
cafe,0.562,-0.216
cafeteria,0.514,-0.2
caffeine,0.124,0.518
cage,-0.368,-0.334
caged,-0.667,-0.667
cagey,0.084,-0.274
caginess,-0.524,-0.5
cahoots,-0.376,0.392
cairn,-0.48,-0.13
cajole,-0.333,0.667
cajoler,-0.5,0.667
cake,0.62,-0.25
cakewalk,0.438,0.02
calamari,0.042,-0.376
calamine,0.037,-0.958
calamitous,-0.562,0.37
calamitously,-1.0,0.667
calamity,-0.756,0.59
calcareous,-0.02,-0.264
calciferous,0.19,-0.667
calcification,-0.389,-0.792
calcified,-0.476,-0.857
calcify,-0.583,-0.667
calcite,0.0,-1.0
calcium,0.2,-0.308
calculability,0.481,0.5
calculable,0.667,-0.667
calculate,-0.02,-0.096
calculated,0.266,-0.15
calculatedly,0.0,0.333
calculating,-0.084,-0.14
calculation,0.292,-0.094
calculative,-0.333,0.667
calculator,0.026,-0.434
calculus,-0.28,-0.28
caldron,-0.333,0.074
calendar,-0.04,-0.576
calender,0.062,-0.45
calf,0.062,-0.268
calfskin,0.333,-0.148
caliber,-0.142,0.102
calibrate,0.104,-0.08
calibration,0.429,0.667
calibrator,0.667,0.667
calico,-0.188,-0.324
caliper,0.0,0.0
calipers,-0.04,0.02
calisthenics,0.124,0.326
call,0.188,0.254
callback,0.048,0.058
callboy,-0.333,0.63
caller,0.292,0.23
calligrapher,0.667,0.667
calligraphic,0.667,-0.667
calligraphically,0.667,0.125
calligraphist,0.611,0.444
calligraphy,0.24,-0.568
calling,0.292,0.18
callously,-0.857,-0.667
callousness,-1.0,-0.593
callow,-0.667,-0.333
callowness,-0.667,-0.519
calls,0.216,-0.138
callus,-0.333,-0.5
calm,0.75,-0.9
calming,0.77,-0.882
calmly,0.889,-1.0
calmness,0.868,-0.895
caloric,-0.346,-0.034
calorie,-0.334,0.08
calorimeter,-0.188,0.12
calve,0.0,0.63
calved,0.0,0.593
calves,0.0,-0.444
calzone,0.704,-0.37
cam,-0.104,-0.274
camaraderie,0.666,0.02
camber,-0.14,-0.236
cambodia,0.0,0.0
camcorder,0.112,-0.156
came,0.166,0.016
camel,0.08,-0.436
camelback,0.167,-0.667
cameo,0.146,-0.086
camera,0.28,-0.424
cameraman,0.084,-0.096
cameras,0.25,0.0
camerawork,0.667,0.63
camisole,-0.006,-0.5
camouflage,-0.124,0.17
camouflaged,-0.3,-0.156
camp,0.244,0.234
campaign,0.204,0.46
campaigner,0.184,0.396
campaigning,0.062,0.326
camper,0.146,0.058
campfire,0.354,0.018
campground,0.625,-0.278
camphor,0.0,0.048
camping,0.306,0.058
campout,0.867,1.0
campsite,0.36,-0.02
campus,0.208,-0.224
campy,0.259,0.542
camshaft,0.0,0.667
can,0.324,-0.28
canal,0.346,-0.482
canape,0.381,-0.292
canary,0.164,-0.448
canasta,0.667,0.667
cancan,0.611,1.0
cancel,-0.572,-0.388
cancelable,-0.333,0.0
cancelation,-0.542,-0.5
canceling,-0.542,-0.06
cancellation,-0.552,-0.138
cancelled,-0.667,-0.6
cancer,-0.896,0.388
cancerous,-1.0,0.667
candelabra,0.667,-0.714
candelabrum,0.481,-0.889
candescence,0.667,0.708
candescent,0.667,0.333
candid,0.334,-0.302
candidacy,-0.02,0.314
candidate,0.192,-0.02
candidateship,0.667,0.667
candidly,0.625,0.333
candidness,0.667,0.125
candied,0.426,-0.34
candle,0.204,-0.558
candleholder,0.133,-0.5
candlelight,0.578,-0.412
candlelit,0.667,-0.667
candlepower,0.458,-0.667
candles,0.23,-0.588
candlestick,-0.104,0.062
candlewick,0.333,0.0
candlewood,0.208,-1.0
candor,0.48,-0.222
candy,0.86,-0.15
cane,-0.082,-0.404
canine,0.146,0.138
canister,0.106,-0.458
canker,-0.476,-0.062
cankerous,-1.0,-0.095
cannabis,-0.458,0.0
canned,-0.204,-0.286
cannelloni,0.667,-0.593
canner,0.0,0.556
cannery,0.0,0.667
cannibal,-0.756,0.648
cannibalism,-0.812,0.78
cannibalistic,-1.0,0.778
cannibalistically,-1.0,0.944
cannibalization,-0.667,0.667
cannibalize,-0.857,0.667
cannily,0.667,0.593
canniness,0.667,-0.389
canning,-0.02,-0.216
cannon,0.058,0.352
cannonball,-0.312,0.68
cannot,-0.466,-0.262
canny,0.667,0.667
canoe,0.084,-0.4
canoeist,0.667,0.667
canola,0.0,-0.714
canon,-0.23,0.038
canonic,0.778,-0.667
canonical,0.084,-0.18
canonically,0.296,0.0
canonist,0.0,-0.667
canonistic,0.0,-0.815
canonization,0.963,-0.63
canonize,0.667,-0.476
canons,-0.23,0.176
canoodle,0.667,0.667
canopy,0.23,-0.472
cans,0.0,0.0
cant,-0.524,0.042
cantaloupe,0.184,-0.576
cantankerous,-0.833,0.667
cantankerously,-0.833,0.667
cantankerousness,-0.889,0.667
cantbreathe,-0.432,0.334
canteen,0.376,0.2
canter,0.296,0.667
canterbury,0.164,-0.124
canthandleit,-0.292,0.226
cantilever,-0.286,0.236
cantina,0.292,0.224
canto,0.552,-0.078
canton,0.084,-0.056
cantonese,0.0,0.0
cantor,0.0,0.542
cantstandit,-0.164,0.092
cantwin,-0.48,0.018
canvas,0.438,-0.82
canvass,0.35,-0.288
canyon,-0.064,0.462
cap,0.224,-0.52
capabilities,0.741,0.0
capability,0.666,0.142
capable,0.53,0.174
capableness,0.905,-0.286
capably,0.733,0.667
capacious,0.704,-0.583
capaciously,0.704,-0.481
capaciousness,0.667,-0.722
capacitate,0.556,0.667
capacitor,0.0,0.0
capacity,0.438,-0.178
cape,0.062,-0.53
caper,0.02,-0.26
capful,0.0,-0.095
capillary,-0.062,-0.27
capital,0.04,0.0
capitalism,-0.104,0.372
capitalist,-0.296,0.154
capitalistic,0.074,0.048
capitalistically,0.667,0.667
capitalization,0.63,-0.583
capitalize,0.542,0.202
capitally,0.667,-0.556
capitals,0.51,0.0
capitation,-0.042,0.058
capitol,0.07,-0.25
capitulary,0.0,-0.667
capitulate,-0.667,-0.37
capitulation,-0.25,0.092
capitulator,-0.611,-0.083
capitulatory,-0.619,0.667
caplet,0.0,0.0
capped,0.0,-0.63
capping,0.083,0.667
cappuccino,0.584,-0.442
caprice,-0.334,0.28
capricious,-0.558,0.3
capriciously,-0.417,0.667
capriciousness,-0.667,0.667
capricorn,0.0,0.0
caps,0.02,-0.558
capsize,-0.667,0.958
capslock,-0.34,-0.212
capstone,0.704,0.048
capsular,0.0,-0.583
capsulate,0.0,0.583
capsulated,0.0,-0.583
capsulation,0.0,-0.667
capsule,0.166,-0.42
captain,0.104,0.306
captainship,0.81,0.667
caption,0.628,-0.416
captivate,0.396,0.208
captivating,0.79,0.188
captivation,0.815,0.704
captivator,0.944,0.667
captive,-0.53,0.116
captivity,-0.55,-0.014
captor,-0.306,0.25
capture,-0.286,0.3
captured,0.0,0.625
capturer,-0.333,1.0
caput,0.0,0.0
car,0.552,0.08
carafe,0.0,-0.5
caramel,0.802,-0.274
caramelize,0.667,0.625
carat,0.646,0.208
caravan,0.27,0.118
caraway,0.0,-0.63
carb,0.0,0.0
carbide,0.0,0.0
carbine,0.0,0.625
carbohydrate,0.0,0.0
carbolic,-0.667,0.0
carbon,0.208,-0.28
carbonate,0.0,-0.5
carbonation,0.381,0.593
carbonator,0.111,0.667
carbonic,0.0,0.0
carbonization,-0.583,0.611
carbonize,-0.333,0.571
carbonless,0.0,-0.667
carbs,0.0,0.0
carbuncle,-0.667,-0.667
carbuncular,-0.889,-0.5
carburetor,-0.062,0.224
carcass,-0.77,0.058
carcinogen,-1.0,0.704
carcinogenesis,-0.708,0.375
carcinogenic,-1.0,0.0
carcinogenicity,-0.762,0.0
carcinoid,-0.944,0.0
carcinoma,-0.694,0.384
card,0.062,-0.462
cardamom,0.667,-0.333
cardboard,0.0,-0.654
cardholder,0.056,0.0
cardiac,-0.312,0.53
cardigan,0.198,-0.352
cardinal,0.166,-0.284
cardinality,0.0,-0.583
cardinally,0.0,0.0
cardinalship,0.917,-0.833
cardio,0.072,0.238
cardiogenic,-0.593,0.667
cardiogram,0.048,0.667
cardiograph,0.667,0.042
cardiologist,-0.084,0.26
cardiology,-0.594,0.09
cardiomyopathy,-0.646,0.29
cardiopulmonary,0.0,0.625
cardiovascular,0.125,0.542
cards,0.136,-0.366
cardstock,0.0,-0.667
care,0.458,-0.26
career,0.48,0.424
careerism,-0.381,0.667
